City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Ullal,IN,76.15,mist,12.8,74.85,AK INTERNATIONAL LODGE
4,Kapaa,US,84.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Fukue,JP,77.81,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
17,Tabou,CI,76.66,light rain,4.423,-7.3528,hotêl doufoulougou
28,Kulhudhuffushi,MV,81.73,few clouds,6.6221,73.07,Hondaafushi Island Resort
31,Butaritari,KI,83.66,light rain,3.0707,172.7902,Isles Sunset Lodge
32,Buala,SB,83.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
33,Sao Felix Do Xingu,BR,84.49,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
34,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
36,Phan Thiet,VN,76.6,broken clouds,10.9333,108.1,Hotel Saigon-PT
40,Hithadhoo,MV,83.07,broken clouds,-0.6,73.0833,Scoop Guest House
44,Atuona,PF,77.81,light rain,-9.8,-139.0333,Villa Enata
46,Frontignan,FR,76.95,clear sky,43.4485,3.754,Domain Selhac: Cottages in Frontignan
51,Couva,TT,85.98,scattered clouds,10.4225,-61.4675,Metro Hotel
53,Hasaki,JP,75.6,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
56,Carballo,ES,76.42,clear sky,43.213,-8.691,Pazo do Souto
63,Ixtapa,MX,88.83,broken clouds,20.7,-105.2,Hotel Plaza Providencia
65,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
66,Kavieng,PG,82.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
78,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
83,Matara,LK,78.89,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
84,College,US,76.59,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
87,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
89,Taybad,IR,78.04,few clouds,34.74,60.7756,لی پوش jean center
90,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
93,Kathu,TH,83.7,clear sky,7.9178,98.3332,Novotel Phuket Resort
94,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
98,Edosaki,JP,80.94,few clouds,35.95,140.3167,Komorebi Mori no Ibaraido
99,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
103,Hamilton,US,82.31,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
107,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
110,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
111,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
114,Korla,CN,83.35,clear sky,41.7597,86.1469,Gulisitan Hotel
118,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
127,Galesong,ID,75.45,overcast clouds,-5.3166,119.3661,Sapriadi Appy
131,Wajima,JP,78.78,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
136,Veraval,IN,82.51,overcast clouds,20.9,70.3667,Lords Inn Somnath
139,Pacific Grove,US,86.58,scattered clouds,36.6177,-121.9166,Lovers Point Inn
141,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
147,Sakaiminato,JP,78.78,broken clouds,35.55,133.2333,味処・民宿 まつや
148,Honiara,SB,84.16,scattered clouds,-9.4333,159.95,Heritage Park Hotel
150,Nikolskoye,RU,76.89,few clouds,59.7035,30.7861,Tourist House - Sablino
162,Portland,US,79.52,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
164,Fortuna,US,83.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
166,Santa Rosalia,MX,88.27,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
167,Port Hawkesbury,CA,79.02,broken clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
168,Naze,JP,76.71,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
174,San Fernando,PH,78.89,moderate rain,15.0286,120.6898,Maharlika Hostel
175,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
176,Faanui,PF,79.9,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
181,Ewa Beach,US,85.98,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
183,Petit Goave,HT,87.98,scattered clouds,18.4314,-72.8669,Imperial Suite International
184,Tagusao,PH,79.59,overcast clouds,9.1924,117.8141,Toledo
190,Bartica,GY,86.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
191,Aragarcas,BR,77.13,broken clouds,-15.8975,-52.2508,Hotel Pousada Tropical
196,Solnechnyy,RU,75.74,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
197,Guerrero Negro,MX,78.03,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
200,Balkanabat,TM,85.55,broken clouds,39.5108,54.3671,Nebitchi Hotel
201,Caibarien,CU,88.92,clear sky,22.5206,-79.4669,La Nena
202,Hami,CN,85.64,clear sky,42.8,93.45,Laoyutang Resort
204,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
205,Mapiripan,CO,77.63,overcast clouds,2.8892,-72.1256,Monserrate
207,Itapissuma,BR,75.24,clear sky,-7.7764,-34.8922,Pousada Cidade Criança
214,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
220,Zhanaozen,KZ,81.5,broken clouds,43.3,52.8,K.korabay 28A
222,Isla Mujeres,MX,87.85,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
224,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
227,Samarai,PG,80.11,broken clouds,-10.6167,150.6667,Nuli Sapi
